,date,pm25
1069,2017-01-03,197.0
1070,2017-01-04,230.0
1071,2017-01-05,273.0
1072,2017-01-06,107.0
1073,2017-01-07,76.0
1074,2017-01-08,108.0
1075,2017-01-09,155.0
1076,2017-01-10,186.0
1077,2017-01-11,173.0
1078,2017-01-12,186.0
1079,2017-01-13,180.0
1080,2017-01-14,181.0
1081,2017-01-15,163.0
1082,2017-01-16,138.0
1083,2017-01-17,198.0
1084,2017-01-18,161.0
1085,2017-01-19,174.0
1086,2017-01-20,187.0
1087,2017-01-21,154.0
1088,2017-01-22,160.0
1089,2017-01-23,205.0
1090,2017-01-24,183.0
1091,2017-01-25,165.0
1092,2017-01-26,170.0
1093,2017-01-27,167.0
1094,2017-01-28,207.0
1095,2017-01-29,222.0
1096,2017-01-30,193.0
1097,2017-01-31,188.0
1098,2017-02-01,163.0
1099,2017-02-02,157.0
1100,2017-02-03,160.0
1101,2017-02-04,160.0
1102,2017-02-05,148.0
1103,2017-02-06,161.0
1104,2017-02-07,174.0
1105,2017-02-08,149.0
1106,2017-02-09,132.0
1107,2017-02-10,173.0
1108,2017-02-11,161.0
1109,2017-02-12,157.0
1110,2017-02-13,176.0
1111,2017-02-14,171.0
1112,2017-02-15,155.0
1113,2017-02-16,176.0
1114,2017-02-17,174.0
1115,2017-02-18,262.0
1116,2017-02-19,185.0
1117,2017-02-20,208.0
1118,2017-02-21,197.0
1119,2017-02-22,100.0
1120,2017-02-23,156.0
1121,2017-02-24,162.0
1122,2017-02-25,158.0
1123,2017-02-26,162.0
1124,2017-02-27,164.0
1125,2017-02-28,168.0
1126,2017-03-01,168.0
1127,2017-03-02,140.0
1128,2017-03-03,112.0
1129,2017-03-04,146.0
1130,2017-03-05,167.0
1131,2017-03-06,158.0
1132,2017-03-07,297.0
1133,2017-03-08,237.0
1134,2017-03-09,173.0
1135,2017-03-10,176.0
1136,2017-03-11,156.0
1137,2017-03-12,173.0
1138,2017-03-13,161.0
1139,2017-03-14,110.0
1140,2017-03-15,121.0
1141,2017-03-16,259.0
1142,2017-03-17,164.0
1143,2017-03-18,171.0
1144,2017-03-19,178.0
1145,2017-03-20,175.0
1146,2017-03-21,131.0
1147,2017-03-22,153.0
1148,2017-03-23,126.0
1149,2017-03-24,142.0
1150,2017-03-25,121.0
1151,2017-03-26,144.0
1152,2017-03-27,124.0
1153,2017-03-28,139.0
1154,2017-03-29,142.0
1155,2017-03-30,170.0
1156,2017-03-31,166.0
1157,2017-04-01,138.0
980,2017-04-02,164.0
981,2017-04-03,156.0
982,2017-04-04,160.0
983,2017-04-05,161.0
984,2017-04-06,171.0
985,2017-04-07,131.0
986,2017-04-08,156.0
987,2017-04-09,147.0
988,2017-04-10,64.0
989,2017-04-11,58.0
990,2017-04-12,144.0
991,2017-04-13,157.0
992,2017-04-14,158.0
993,2017-04-15,145.0
994,2017-04-16,155.0
995,2017-04-17,161.0
996,2017-04-18,90.0
997,2017-04-19,113.0
998,2017-04-20,156.0
999,2017-04-21,117.0
1000,2017-04-22,122.0
1001,2017-04-23,126.0
1002,2017-04-24,135.0
1003,2017-04-25,144.0
1004,2017-04-26,144.0
1005,2017-04-27,152.0
1006,2017-04-28,128.0
1007,2017-04-29,142.0
1008,2017-04-30,127.0
1009,2017-05-01,145.0
1010,2017-05-02,159.0
1011,2017-05-03,144.0
1012,2017-05-04,142.0
1013,2017-05-05,77.0
1014,2017-05-06,118.0
1015,2017-05-07,234.0
1016,2017-05-08,187.0
1017,2017-05-09,119.0
1018,2017-05-10,113.0
1019,2017-05-11,141.0
1020,2017-05-12,151.0
1021,2017-05-13,93.0
1022,2017-05-14,110.0
1023,2017-05-15,162.0
1024,2017-05-16,138.0
1025,2017-05-17,141.0
1026,2017-05-18,148.0
1027,2017-05-19,160.0
1028,2017-05-20,167.0
1029,2017-05-21,171.0
1030,2017-05-22,157.0
1031,2017-05-23,128.0
1032,2017-05-24,74.0
1033,2017-05-25,99.0
1034,2017-05-26,122.0
1035,2017-05-27,178.0
1036,2017-05-28,139.0
1037,2017-05-29,137.0
1038,2017-05-30,141.0
1039,2017-05-31,155.0
1040,2017-06-01,157.0
1041,2017-06-02,116.0
1042,2017-06-03,161.0
1043,2017-06-04,158.0
1044,2017-06-05,145.0
1045,2017-06-06,113.0
1046,2017-06-07,75.0
1047,2017-06-08,104.0
1048,2017-06-09,135.0
1049,2017-06-10,112.0
1050,2017-06-11,108.0
1051,2017-06-12,91.0
1052,2017-06-13,100.0
1053,2017-06-14,96.0
1054,2017-06-15,112.0
1055,2017-06-16,146.0
1056,2017-06-17,136.0
1057,2017-06-18,140.0
1058,2017-06-19,127.0
1059,2017-06-20,115.0
1060,2017-06-21,152.0
1061,2017-06-22,158.0
1062,2017-06-25,126.0
1063,2017-06-26,135.0
1064,2017-06-27,130.0
1065,2017-06-28,95.0
1066,2017-06-29,97.0
1067,2017-06-30,104.0
1068,2017-07-01,72.0
920,2017-07-02,52.0
921,2017-07-03,72.0
922,2017-07-04,124.0
923,2017-07-05,91.0
924,2017-07-06,79.0
925,2017-07-07,74.0
926,2017-07-08,66.0
927,2017-07-09,76.0
928,2017-07-10,70.0
929,2017-07-11,63.0
930,2017-07-12,60.0
931,2017-07-13,47.0
932,2017-07-14,79.0
933,2017-07-15,76.0
934,2017-07-16,90.0
935,2017-07-19,96.0
936,2017-07-20,67.0
937,2017-07-21,64.0
938,2017-07-22,63.0
939,2017-07-23,95.0
